company_name,brand,address,state,expiry_date
DONKAI BUKIT BINTANG SDN BHD,,"(4L HOLDING SDN. BHD.), LOT 2, GF,, Bintang Collectionz Hotel, 68,, 68, Jln Bukit Bintang, Bukit Bintang,, 58200, Kuala Lumpur, Wilayah Persekutuan, DONKAI",KL,15/10/2026
DONKAI PAVILION SDN.BHD,,"(4L HOLDING SDN. BHD.), LOT 1.108.00, LEVEL 1, PAVILION ELITE NO.166, 55100, Kuala Lumpur, Wilayah Persekutuan, DONKAI PAVILION SDN.BHD",KL,15/11/2027
DONKAI TRX SDN BHD,,"(4L HOLDING SDN. BHD.), C.90.0,, Level Concourse, The Exchange TRX,, Persiaran TRX, Tun Razak Exchange,, 58200, Kuala Lumpur, Wilayah Persekutuan, DONKAI",KL,15/10/2026
9 KOPITIAM @ AEON MALURI,,"(9 KOPITIAM SDN. BHD.), AEON TAMAN MALURI SHOPPING CENTRE, G21, JALAN JEJAKA, 55100, Kuala Lumpur, Wilayah Persekutuan, 9 kopitiam",KL,30/11/2026
9 KOPITIAM @ EKO CHERAS,,"(9 KOPITIAM SDN. BHD.), UNIT S-K09 & ADT-1, TINGKAT 2, EKO CHERAS MALL,, Batu 9 Cheras,Taman Mutiara Barat, 56000, Kuala Lumpur, Wilayah Persekutuan, 9 kopitiam",KL,30/11/2026
A&W 1 MONT KIARA,,"(A&W MALAYSIA SDN BHD), LOT G-25 & LOT-25(AS), JALAN KIARA, MONT KIARA,, Jalan Kiara, Mont Kiara, 50480, Kuala Lumpur, Wilayah Persekutuan, A&W",KL,31/03/2027
A&W ATIVO PLAZA,,"(A&W MALAYSIA SDN BHD), LOT A-1-3 (A-G-3) GROUND FLOOR, BLOCK A, Ativo Plaza, No 1, Jalan PJU 9/1, Damansara Avenue, 52200, Kuala Lumpur, Wilayah Persekutuan, A&W",KL,15/06/2027
"A&W DATUM MALL, JELATEK",,"(A&W MALAYSIA SDN BHD), G-09, G-10, G-AL-09 &G-AL-10(GF) DATUM JELATEK, 55000,  Tiada Maklumat, Wilayah Persekutuan, A&W",KL,30/11/2026
A&W EKO CHERAS,,"(A&W MALAYSIA SDN BHD), F-18, TINGKAT 1, EKOCHERAS MALL,, TAMAN MUTIARA BARAT,, JALAN CHERAS TAMAN MUTIARA BARAT, 56000, Kuala Lumpur, Wilayah Persekutuan, A&W",KL,31/10/2026
A&W G-VILLAGE,,"(A&W MALAYSIA SDN BHD), LOT G-09, JALAN 1/76, G- VILLAGE DESA PANDAN, 55100, Kuala Lumpur, Wilayah Persekutuan, A&W",KL,31/10/2026
