company_name,brand,address,state,expiry_date
4T BRANDS SDN BHD,,"(4T BRANDS SDN BHD), GK101A, GROUND FLOOR, 1 UTAMA SHOPPING CENTRE, NO.1, NO.1 LEBUH BANDAR UTAMA,, 47800, Petaling, Selangor",SELANGOR,31/08/2027
9 KOPITIAM @ AEON TAMAN EQUINE,,"(9 KOPITIAM SDN. BHD.), SERIBU WARNA SDN. BHD., Lot LG12 Lower Ground Floor AEON Taman Equine, Jalan Equine Pusat Bandar Putra Permai, 43300, Petaling, Selangor",SELANGOR,30/06/2027
9 KOPITIAM @ SILK RESIDENCE,,"(9 KOPITIAM SDN. BHD.), NO G-11, JALAN SUTERA,, SILK RESIDENCE, 43200, Hulu Langat, Selangor, 9 kopitiam",SELANGOR,30/11/2026
A&W AMPANG POINT,,"(A&W MALAYSIA SDN BHD), G-23A, G25 & G26, Jalan Mamanda 9, Ampang Point Shopping Centre, 68000, Hulu Langat, Selangor",SELANGOR,30/04/2028
A&W BANDAR BUKIT TINGGI,,"(A&W MALAYSIA SDN BHD), LOT 7725,, LEBUH BT NILAM, BANDAR BUKIT TINGGI, 41200, Klang, Selangor",SELANGOR,15/07/2028
A&W BANDAR BUKIT TINGGI,,"(A&W MALAYSIA SDN BHD), LOT 7725,, LEBOH BATU NILAM BANDAR BUKIT TINGGI, 41200, Klang, Selangor",SELANGOR,15/07/2026
A&W BMC MALL,,"(A&W MALAYSIA SDN BHD), LOT G-16, GROUND FLOOR BMC MALL, JALAN TEMENGGUNG 21/9, BANDAR MAHKOTA CHERAS, 43200, Hulu Langat, Selangor, A&W",SELANGOR,31/03/2027
A&W C180 CHERAS SELATAN,,"(A&W MALAYSIA SDN BHD), NO 3G & 5G,JALAN C180/1,  DATARAN C180, 43200, Hulu Langat, Selangor, A&W",SELANGOR,31/03/2027
A&W CENTRAL I-CITY,,"(A&W MALAYSIA SDN BHD), LOT LG-34, TINGKAT LG,, PUSAT MEMBELI BELAH SENTRAL I-CITY, NO 1 PERSIARAN MULTIMEDIA, SEKSYEN 7,, 40000, Klang, Selangor, A&W",SELANGOR,31/05/2027
A&W CITTA MALL,,"(A&W MALAYSIA SDN BHD), G-10, GROUND FLOOR, CITTA MALL, JALAN PJU 10/48, PUSAT PERDAGANGAN DANA 1, PETALING JAYA, SELANGOR, 47301, Petaling, Selangor, A&W",SELANGOR,31/10/2026
A&W CYBERJAYA,,"(A&W MALAYSIA SDN BHD), UNIT NO G-8 (RETAIL SPACE), JALAN TEKNORAT 6, KANVAS @ PRIMA 15, 63000, Sepang, Selangor",SELANGOR,15/07/2028
A&W CYBERJAYA,,"(A&W MALAYSIA SDN BHD), UNIT NO G-8 RETAIL SPACE, KANVAS @ PRIMA 15,, JALAN TEKNORAT 6, 63000, Sepang, Selangor",SELANGOR,15/07/2026
A&W EVO MALL BANGI,,"(A&W MALAYSIA SDN BHD), LOT G.01, GROUND FLOOR KOMPLEKS EVO MALL, SEKSYEN 9, 43650, Kuala Langat, Selangor, A&W",SELANGOR,31/10/2026
A&W GAMUDA FUN PARK,,"(A&W MALAYSIA SDN BHD), LOT 3A & LOT 3A-E (GROUND FLOOR), FUN PARK @ LUGE GARDEN,, Persiaran Gamuda 1, Bandar Gamuda Gardens, Bandar Gamuda Gardens, 47000, Gombak, Selangor, A&W",SELANGOR,15/06/2027
